,Unnamed: 0,Date,Symbol,Expiry,Option Type,Strike Price,Open_x,High_x,Low_x,Close_x,Last,Settle Price,Number of Contracts,Turnover_x,Premium Turnover,Open Interest,Change in OI,Underlying,Open_y,High_y,Low_y,Close_y,Volume,Turnover_y,AnnualVolatility365,AnnualVolatility254,logreturns,Days_to_Expiry,Range,UpperRange,LowerRange,Delta365,Theta365,Rho365,Vega365,Gamma365,CalcIV365
0,0,2017-09-27,BANKNIFTY,2017-10-12,CE,23500.0,0.0,0.0,0.0,1163.65,0.0,518.55,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527,0.74778190336,-12.7212236183,7.10017306397,15.4121635477,0.000482549167721,48.9473342896
1,1,2017-09-27,BANKNIFTY,2017-10-12,PE,23500.0,0.0,0.0,0.0,192.15,0.0,145.5,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527,-0.25221809664,-5.03320338473,-2.50985222797,15.4121635477,0.000482549167721,1e-05
2,2,2017-09-27,BANKNIFTY,2017-10-12,CE,23600.0,0.0,0.0,0.0,1091.2,0.0,452.45,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527,0.696616696974,-13.0096992044,6.62862793675,16.8693334536,0.000528172621114,47.981262207
3,3,2017-09-27,BANKNIFTY,2017-10-12,PE,23600.0,0.0,0.0,0.0,218.6,0.0,179.15,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527,-0.303383303026,-5.28896399117,-3.02229107984,16.8693334536,0.000528172621114,1e-05
4,4,2017-09-27,BANKNIFTY,2017-10-12,CE,23700.0,0.0,0.0,0.0,1019.35,0.0,391.4,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527,0.641514131019,-13.131848825,6.11634475027,18.033770971,0.000564630731172,46.9732284546
5,5,2017-09-27,BANKNIFTY,2017-10-12,PE,23700.0,0.0,0.0,0.0,245.7,0.0,217.85,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527,-0.358485868981,-5.37839863201,-3.57546799096,18.033770971,0.000564630731172,4.5166015625
6,6,2017-09-27,BANKNIFTY,2017-10-12,CE,23800.0,0.0,0.0,0.0,951.0,0.0,335.55,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527,0.583542437831,-13.0635841636,5.5736454093,18.8346746016,0.00058970672905,46.0662841797
7,7,2017-09-27,BANKNIFTY,2017-10-12,PE,23800.0,0.0,0.0,0.0,276.25,0.0,261.75,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527,-0.416457562169,-5.27741899089,-4.15906105659,18.8346746016,0.00058970672905,10.6582641602
8,8,2017-09-27,BANKNIFTY,2017-10-12,CE,23900.0,0.0,0.0,0.0,885.3,0.0,284.9,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527,0.523944113903,-12.7925267567,5.01260605723,19.2238025626,0.000601890182276,45.2194213867
9,9,2017-09-27,BANKNIFTY,2017-10-12,PE,23900.0,0.0,0.0,0.0,309.45,0.0,310.85,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527,-0.476055886097,-4.97364660423,-4.7609941333,19.2238025626,0.000601890182276,15.2730941772
10,10,2017-09-27,BANKNIFTY,2017-10-12,CE,24000.0,0.0,0.0,0.0,822.2,0.0,239.7,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527,0.464054583568,-12.3195684885,4.4462660123,19.1802737804,0.000600527312126,44.4107055664
11,11,2017-09-27,BANKNIFTY,2017-10-12,PE,24000.0,0.0,0.0,0.0,345.3,0.0,365.4,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527,-0.535945416432,-4.46797335637,-5.36822790288,19.1802737804,0.000600527312126,19.6418762207
