,Unnamed: 0,Date,Symbol,Expiry,Option Type,Strike Price,Open_x,High_x,Low_x,Close_x,Last,Settle Price,Number of Contracts,Turnover_x,Premium Turnover,Open Interest,Change in OI,Underlying,Open_y,High_y,Low_y,Close_y,Volume,Turnover_y,AnnualVolatility365,AnnualVolatility254,logreturns,Days_to_Expiry,Range,UpperRange,LowerRange,Delta365,Theta365,Rho365,Vega365,Gamma365,CalcIV365,PositionUp,PositionDown,UpSafety,DownSafety
227,227,2017-10-31,BANKNIFTY,2017-11-09,PE,24500.0,75.9,90.05,72.0,77.1,72.15,77.1,3613.0,3552242000.0,11502000.0,68000.0,34520.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.265500581663,-15.7395321468,-1.67802647006,12.8805969809,0.000332187256009,1e-05,26100,24000,26200,23900
228,228,2017-10-31,BANKNIFTY,2017-11-09,CE,24600.0,0.0,0.0,0.0,513.35,0.0,581.55,0.0,0.0,0.0,0.0,0.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,0.699589639247,-24.6058174157,4.14715770692,13.668306784,0.000352502087567,10.3139877319,26100,24000,26200,23900
229,229,2017-10-31,BANKNIFTY,2017-11-09,PE,24600.0,99.95,100.0,91.5,99.95,100.0,99.95,12.0,11855000.0,47000.0,280.0,280.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.300410360753,-16.5420414571,-1.90067426202,13.668306784,0.000352502087567,1e-05,26100,24000,26200,23900
230,230,2017-10-31,BANKNIFTY,2017-11-09,CE,24700.0,0.0,0.0,0.0,467.3,0.0,511.55,0.0,0.0,0.0,0.0,0.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,0.662896688427,-25.2742613145,3.93719551789,14.347838501,0.000370027034336,13.9541625977,26100,24000,26200,23900
231,231,2017-10-31,BANKNIFTY,2017-11-09,PE,24700.0,122.35,143.2,111.55,121.75,111.55,121.75,139.0,138014000.0,682000.0,3680.0,3080.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.337103311573,-17.1777057789,-2.13522113384,14.347838501,0.000370027034336,1e-05,26100,24000,26200,23900
232,232,2017-10-31,BANKNIFTY,2017-11-09,CE,24800.0,295.95,350.0,295.95,350.0,350.0,350.0,6.0,6033000.0,81000.0,280.0,-40.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,0.624741717919,-25.7527013441,3.71727849838,14.9007411763,0.000384286250956,10.5133056641,26100,24000,26200,23900
233,233,2017-10-31,BANKNIFTY,2017-11-09,PE,24800.0,154.3,177.7,139.2,144.7,144.0,144.7,194.0,193603000.0,1155000.0,5960.0,2880.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.375258282081,-17.6233662314,-2.37972283615,14.9007411763,0.000384286250956,1e-05,26100,24000,26200,23900
234,234,2017-10-31,BANKNIFTY,2017-11-09,CE,24900.0,270.0,299.0,264.6,281.65,281.65,281.65,21.0,21152000.0,236000.0,680.0,120.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,0.585485494423,-26.0232464248,3.48960408647,15.3120963945,0.000394894995363,10.7507705688,26100,24000,26200,23900
235,235,2017-10-31,BANKNIFTY,2017-11-09,PE,24900.0,180.15,200.0,170.0,184.65,179.65,184.65,97.0,97319000.0,707000.0,1800.0,1480.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.414514505577,-17.8611317351,-2.63198193087,15.3120963945,0.000394894995363,1e-05,26100,24000,26200,23900
236,236,2017-10-31,BANKNIFTY,2017-11-09,CE,25000.0,240.2,245.0,193.25,233.9,242.0,233.9,957.0,965593000.0,8593000.0,24880.0,18040.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,0.545517719389,-26.0741224312,3.25655776941,15.5711889364,0.000401576924833,11.7340087891,26100,24000,26200,23900
