,Unnamed: 0,Date,Symbol,Expiry,Option Type,Strike Price,Open_x,High_x,Low_x,Close_x,Last,Settle Price,Number of Contracts,Turnover_x,Premium Turnover,Open Interest,Change in OI,Underlying,Open_y,High_y,Low_y,Close_y,Volume,Turnover_y,AnnualVolatility365,AnnualVolatility254,logreturns,Days_to_Expiry,Range,UpperRange,LowerRange,Delta365,Theta365,Rho365,Vega365,Gamma365,CalcIV365
25,25,2017-08-23,BANKNIFTY,2017-09-07,PE,24700,0.0,0.0,0.0,1097.85,0.0,489.05,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,-0.628738366796,-4.35662111538,-6.46888424475,18.6329183151,0.000499640461875,61.9602203369
26,26,2017-08-24,BANKNIFTY,2017-09-07,CE,23500,0.0,0.0,0.0,585.85,0.0,869.65,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,0.862948351586,-13.1171801333,7.67367910229,10.4290214801,0.00026281099303,1e-05
27,27,2017-08-24,BANKNIFTY,2017-09-07,PE,23500,55.0,56.0,41.05,43.2,43.0,43.2,330,310850000.0,650000,10880,10840,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,-0.137051648414,-5.42663191589,-1.29862715133,10.4290214801,0.00026281099303,1e-05
28,28,2017-08-24,BANKNIFTY,2017-09-07,CE,23600,0.0,0.0,0.0,531.25,0.0,783.3,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,0.834020626557,-13.8025956982,7.43643658472,11.8463502263,0.000298527630103,1e-05
29,29,2017-08-24,BANKNIFTY,2017-09-07,PE,23600,0.0,0.0,0.0,400.1,0.0,52.75,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,-0.165979373443,-6.07932174374,-1.57404969551,11.8463502263,0.000298527630103,1e-05
30,30,2017-08-24,BANKNIFTY,2017-09-07,CE,23700,0.0,0.0,0.0,480.05,0.0,700.25,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,0.801561615745,-14.4482089617,7.16510443505,13.246802717,0.000333818986101,1e-05
31,31,2017-08-24,BANKNIFTY,2017-09-07,PE,23700,0.0,0.0,0.0,447.75,0.0,69.5,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,-0.198438384255,-6.69220927011,-1.88356187179,13.246802717,0.000333818986101,1e-05
32,32,2017-08-24,BANKNIFTY,2017-09-07,CE,23800,0.0,0.0,0.0,432.05,0.0,621.15,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,0.765702324911,-15.0265319836,6.86077097437,14.5850559035,0.000367542921712,1e-05
33,33,2017-08-24,BANKNIFTY,2017-09-07,PE,23800,0.0,0.0,0.0,100.0,100.0,90.15,0,0.0,0,40,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,-0.234297675089,-7.2378065549,-2.22607535908,14.5850559035,0.000367542921712,1e-05
34,34,2017-08-24,BANKNIFTY,2017-09-07,CE,23900,0.0,0.0,0.0,387.5,0.0,546.2,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,0.726690388262,-15.510297623,6.52561891494,15.8146429273,0.000398528473651,1e-05
35,35,2017-08-24,BANKNIFTY,2017-09-07,PE,23900,75.0,75.0,75.0,75.0,75.0,75.0,1,959000.0,3000,40,40,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,-0.273309611738,-7.68884645719,-2.59940744512,15.8146429273,0.000398528473651,1e-05
36,36,2017-08-24,BANKNIFTY,2017-09-07,CE,24000,455.0,517.45,448.0,517.45,517.45,517.45,4,3915000.0,75000,120,120,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,0.684887583076,-15.8741599991,6.1629066309,16.8906904714,0.000425644835828,15.1448249817
37,37,2017-08-24,BANKNIFTY,2017-09-07,PE,24000,159.95,160.0,111.0,122.2,117.0,122.2,1566,1511779000.0,8419000,48760,48440,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,-0.315112416924,-8.01998309619,-3.00029975577,16.8906904714,0.000425644835828,1e-05
38,38,2017-08-24,BANKNIFTY,2017-09-07,CE,24100,0.0,0.0,0.0,308.2,0.0,411.35,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,0.64076032981,-16.0963644694,5.77688381327,17.77269719,0.000447871375685,5.98907470703
39,39,2017-08-24,BANKNIFTY,2017-09-07,PE,24100,0.0,0.0,0.0,671.45,0.0,179.6,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,-0.35923967019,-8.20946182945,-3.42450260002,17.77269719,0.000447871375685,27.400970459
40,40,2017-08-24,BANKNIFTY,2017-09-07,CE,24200,338.2,340.7,317.8,333.1,317.8,333.1,77,75562000.0,1026000,3080,3080,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,0.594863558139,-16.1602361676,5.37264479192,18.4271079961,0.000464362506143,12.1002197266
41,41,2017-08-24,BANKNIFTY,2017-09-07,PE,24200,219.35,225.0,185.8,185.8,185.8,185.8,3,2929000.0,25000,120,120,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,-0.405136441861,-8.24060779055,-3.86692164798,18.4271079961,0.000464362506143,1.8310546875
42,42,2017-08-24,BANKNIFTY,2017-09-07,CE,24300,0.0,0.0,0.0,241.35,0.0,297.9,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,0.547818915813,-16.0553494198,4.9559283938,18.82945252,0.00047450157471,10.3244781494
43,43,2017-08-24,BANKNIFTY,2017-09-07,PE,24300,0.0,0.0,0.0,802.35,0.0,265.75,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,-0.452181084187,-8.10299530565,-4.3218180727,18.82945252,0.00047450157471,40.0838851929
44,44,2017-08-24,BANKNIFTY,2017-09-07,CE,24400,0.0,0.0,0.0,212.3,0.0,249.5,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,0.500288805578,-15.7782699102,4.53287799207,18.9658566408,0.000477938954,11.5509033203
45,45,2017-08-24,BANKNIFTY,2017-09-07,PE,24400,0.0,0.0,0.0,872.2,0.0,317.1,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,-0.499711194422,-7.79319005894,-4.78304850104,18.9658566408,0.000477938954,46.3523864746
46,46,2017-08-24,BANKNIFTY,2017-09-07,CE,24500,174.65,220.0,157.0,170.8,178.0,170.8,345,340487000.0,2387000,9200,7520,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,0.452948096611,-15.332803589,4.10977883307,18.8337984706,0.00047461109252,11.7263793945
47,47,2017-08-24,BANKNIFTY,2017-09-07,PE,24500,0.0,0.0,0.0,250.0,250.0,374.1,0,0.0,0,40,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,-0.547051903389,-7.31499800063,-5.24432768665,18.8337984706,0.00047461109252,15.9530639648
48,48,2017-08-24,BANKNIFTY,2017-09-07,CE,24600,0.0,0.0,0.0,162.55,0.0,169.45,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,0.406455531822,-14.7297355539,3.6927914326,18.4420563649,0.000464739204539,13.3848190308
49,49,2017-08-24,BANKNIFTY,2017-09-07,PE,24600,0.0,0.0,0.0,1020.2,0.0,436.55,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,-0.593544468178,-6.67920422849,-5.69949511374,18.4420563649,0.000464739204539,59.0057373047
50,50,2017-08-24,BANKNIFTY,2017-09-07,CE,24700,0.0,0.0,0.0,141.35,0.0,137.25,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,0.361426825547,-13.9860921504,3.28769966091,17.8098765256,0.0004488082937,14.1038894653
51,51,2017-08-24,BANKNIFTY,2017-09-07,PE,24700,0.0,0.0,0.0,1097.85,0.0,504.1,0,0.0,0,0,0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000,17.55799867,14.64689061,-0.001753411575,14,834.7136649,25108.91366,23439.48634,-0.638573174453,-5.90283508788,-6.14276691204,17.8098765256,0.0004488082937,65.417766571
52,52,2017-08-28,BANKNIFTY,2017-09-07,CE,23500,0.0,0.0,0.0,585.85,0.0,930.75,0,0.0,0,0,0,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,0.92722807411,-11.7804029838,5.9251422718,5.58152849616,0.000204864451123,1e-05
53,53,2017-08-28,BANKNIFTY,2017-09-07,PE,23500,32.0,45.65,24.5,29.45,29.5,29.45,876,824499000.0,1059000,26920,16040,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,-0.07277192589,-4.07973451583,-0.492081451526,5.58152849616,0.000204864451123,1e-05
54,54,2017-08-28,BANKNIFTY,2017-09-07,CE,23600,0.0,0.0,0.0,531.25,0.0,837.75,0,0.0,0,0,0,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,0.903568060238,-12.7198786077,5.79201437039,6.89524872209,0.000253083245168,1e-05
55,55,2017-08-28,BANKNIFTY,2017-09-07,PE,23600,0.0,0.0,0.0,400.1,0.0,20.45,0,0.0,0,0,0,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,-0.0964319397619,-4.98644133774,-0.652516687933,6.89524872209,0.000253083245168,1e-05
56,56,2017-08-28,BANKNIFTY,2017-09-07,CE,23700,0.0,0.0,0.0,480.05,0.0,747.3,0,0.0,0,0,0,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,0.874825535646,-13.7057264012,5.62420158086,8.31413314299,0.000305161986376,1e-05
57,57,2017-08-28,BANKNIFTY,2017-09-07,PE,23700,0.0,0.0,0.0,447.75,0.0,29.85,0,0.0,0,0,0,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,-0.125174464354,-5.93952032923,-0.847636812455,8.31413314299,0.000305161986376,1e-05
