,Unnamed: 0,Date,Symbol,Expiry,Option Type,Strike Price,Open_x,High_x,Low_x,Close_x,Last,Settle Price,Number of Contracts,Turnover_x,Premium Turnover,Open Interest,Change in OI,Underlying,Open_y,High_y,Low_y,Close_y,Volume,Turnover_y,AnnualVolatility365,AnnualVolatility254,logreturns,Days_to_Expiry,Delta365,Theta365,Rho365,Vega365,Gamma365,CalcIV365,Range,UpperRange,LowerRange
10,10,2017-01-18,BANKNIFTY,2017-02-02,CE,20100.0,0.0,0.0,0.0,244.7,0.0,40.9,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,0.0982056624743,-4.2230522525,0.761693036713,6.72850308454,0.000276675333547,35.8505249023,625.966834002,19790.466834,18538.533166
11,11,2017-01-18,BANKNIFTY,2017-02-02,PE,20100.0,0.0,0.0,0.0,1631.0,0.0,923.3,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,-0.901794337526,2.35265867067,-7.45794561725,6.72850308454,0.000276675333547,128.036499023,625.966834002,19790.466834,18538.533166
12,12,2017-01-18,BANKNIFTY,2017-02-02,CE,20200.0,0.0,0.0,0.0,242.3,0.0,31.05,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,0.0743999387147,-3.39759152807,0.577510776177,5.4658910657,0.000224756861181,37.6358032227,625.966834002,19790.466834,18538.533166
13,13,2017-01-18,BANKNIFTY,2017-02-02,PE,20200.0,0.0,0.0,0.0,1558.2,0.0,1013.15,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,-0.925600061285,3.21083437482,-7.68302160243,5.4658910657,0.000224756861181,125.782012939,625.966834002,19790.466834,18538.533166
14,14,2017-01-18,BANKNIFTY,2017-02-02,CE,20300.0,0.0,0.0,0.0,221.55,0.0,23.25,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,0.0553591185968,-2.67710386666,0.430022555904,4.34407521541,0.000178627912341,37.9090309143,625.966834002,19790.466834,18538.533166
15,15,2017-01-18,BANKNIFTY,2017-02-02,PE,20300.0,0.0,0.0,0.0,1636.5,0.0,1105.1,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,-0.944640881403,3.96403701594,-7.87140354735,4.34407521541,0.000178627912341,133.247375488,625.966834002,19790.466834,18538.533166
16,16,2017-01-18,BANKNIFTY,2017-02-02,CE,20400.0,0.0,0.0,0.0,29.25,0.0,17.25,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,0.0404559063854,-2.066264808,0.314464898249,3.37885658996,0.000138938224786,20.1969146729,625.966834002,19790.466834,18538.533166
17,17,2017-01-18,BANKNIFTY,2017-02-02,PE,20400.0,0.0,0.0,0.0,1520.3,0.0,1198.8,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,-0.959544093615,4.60759105432,-8.02785492965,3.37885658996,0.000138938224786,128.089904785,625.966834002,19790.466834,18538.533166
18,18,2017-01-18,BANKNIFTY,2017-02-02,CE,20500.0,0.0,0.0,0.0,20.2,0.0,12.6,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,0.0290375339279,-1.56249702265,0.225847098659,2.57287027627,0.00010579615301,19.7448730469,625.966834002,19790.466834,18538.533166
19,19,2017-01-18,BANKNIFTY,2017-02-02,PE,20500.0,0.0,0.0,0.0,1570.4,0.0,1293.95,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,-0.970962466072,5.14407381938,-8.15736645389,2.57287027627,0.00010579615301,133.655548096,625.966834002,19790.466834,18538.533166
20,20,2017-01-18,BANKNIFTY,2017-02-02,CE,20600.0,0.0,0.0,0.0,14.0,0.0,9.1,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,0.0204711760419,-1.15786256784,0.159309231716,1.91857539643,7.88916169126e-05,19.4396972656,625.966834002,19790.466834,18538.533166
21,21,2017-01-18,BANKNIFTY,2017-02-02,PE,20600.0,0.0,0.0,0.0,1455.95,0.0,1390.15,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,-0.979528823958,5.58142325392,-8.26479804548,1.91857539643,7.88916169126e-05,128.505706787,625.966834002,19790.466834,18538.533166
22,22,2017-01-18,BANKNIFTY,2017-02-02,CE,20700.0,0.0,0.0,0.0,10.5,0.0,6.5,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,0.0141762436635,-0.841000652862,0.11037829008,1.4014815855,5.76287742244e-05,19.5007324219,625.966834002,19790.466834,18538.533166
23,23,2017-01-18,BANKNIFTY,2017-02-02,PE,20700.0,0.0,0.0,0.0,1552.15,0.0,1487.3,0,0.0,0.0,0,0,19164.5,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639,15,-0.985823756337,5.93100014861,-8.35462271176,1.4014815855,5.76287742244e-05,137.005805969,625.966834002,19790.466834,18538.533166
24,24,2017-01-19,BANKNIFTY,2017-02-02,CE,19600.0,0.0,0.0,0.0,429.65,0.0,108.9,0,0.0,0.0,0,0,19124.25,19165.35,19185.3,19046.1,19124.25,83679399,24097800000.0,13.3245708622,11.1153631704,-0.00210244600967,14,0.225966575436,-6.75810735837,1.63284143869,11.2603109742,0.000602411366674,39.963722229,499.062834336,19623.3128343,18625.1871657
