,Unnamed: 0,Date,Symbol,Expiry,Option Type,Strike Price,Open_x,High_x,Low_x,Close_x,Last,Settle Price,Number of Contracts,Turnover_x,Premium Turnover,Open Interest,Change in OI,Underlying,Open_y,High_y,Low_y,Close_y,Volume,Turnover_y,AnnualVolatility365,AnnualVolatility254,logreturns,Days_to_Expiry,Range,UpperRange,LowerRange,Delta365,Theta365,Rho365,Vega365,Gamma365,CalcIV365
0,1040,2017-09-20,BANKNIFTY,2017-10-05,CE,23500,0.0,0.0,0.0,1521.8,0.0,1526.1,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,0.999892265983,-7.69339226387,9.60891525444,0.0214855909038,9.5969129902e-07,1e-05
1,1041,2017-09-20,BANKNIFTY,2017-10-05,PE,23500,0.0,0.0,0.0,92.6,0.0,0.85,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,-0.000107734017274,-0.00537203031397,-0.00111003750036,0.0214855909038,9.5969129902e-07,1e-05
2,1042,2017-09-20,BANKNIFTY,2017-10-05,CE,23600,0.0,0.0,0.0,1438.1,0.0,1426.95,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,0.999730428836,-7.7332764794,9.64814083747,0.0506719030929,2.2633487122e-06,1e-05
3,1043,2017-09-20,BANKNIFTY,2017-10-05,PE,23600,0.0,0.0,0.0,107.8,0.0,1.5,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,-0.000269571164169,-0.0125412661325,-0.00277817912209,0.0506719030929,2.2633487122e-06,1e-05
4,1044,2017-09-20,BANKNIFTY,2017-10-05,CE,23700,0.0,0.0,0.0,1356.25,0.0,1328.25,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,0.999363258569,-7.78096786884,9.68524883868,0.112468083479,5.02358262404e-06,1e-05
5,1045,2017-09-20,BANKNIFTY,2017-10-05,PE,23700,0.0,0.0,0.0,124.85,0.0,2.5,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,-0.000636741431031,-0.027517675853,-0.00656390255384,0.112468083479,5.02358262404e-06,1e-05
6,1046,2017-09-20,BANKNIFTY,2017-10-05,CE,23800,0.0,0.0,0.0,1276.4,0.0,1230.05,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,0.998578712071,-7.84294070027,9.71805082166,0.235103789058,1.05013197792e-05,1e-05
7,1047,2017-09-20,BANKNIFTY,2017-10-05,PE,23800,0.0,0.0,0.0,143.95,0.0,4.05,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,-0.00142128792917,-0.0567755275681,-0.0146556442211,0.235103789058,1.05013197792e-05,1e-05
8,1048,2017-09-20,BANKNIFTY,2017-10-05,CE,23900,0.0,0.0,0.0,1198.7,0.0,1132.7,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,0.996998734738,-7.92907594202,9.74264279933,0.463211500062,2.069014756e-05,14.7552490234
9,1049,2017-09-20,BANKNIFTY,2017-10-05,PE,23900,0.0,0.0,0.0,165.15,0.0,6.45,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,-0.00300126526241,-0.110195789593,-0.0309573911943,0.463211500062,2.069014756e-05,1e-05
10,1050,2017-09-20,BANKNIFTY,2017-10-05,CE,24000,0.0,0.0,0.0,1123.25,0.0,1036.5,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,0.993997650011,-8.05285222234,9.75255926641,0.860804729831,3.84493409128e-05,17.0879364014
11,1051,2017-09-20,BANKNIFTY,2017-10-05,PE,24000,0.0,0.0,0.0,30.0,30.0,9.95,0,0.0,0,80,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,-0.00600234998918,-0.201257090203,-0.0619346487663,0.860804729831,3.84493409128e-05,1e-05
12,1052,2017-09-20,BANKNIFTY,2017-10-05,CE,24100,0.0,0.0,0.0,1049.95,0.0,941.85,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,0.98861730182,-8.23023692501,9.73789043153,1.50989592357,6.74421283901e-05,18.4812545776
13,1053,2017-09-20,BANKNIFTY,2017-10-05,PE,24100,0.0,0.0,0.0,214.25,0.0,15.1,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,-0.0113826981805,-0.345926813152,-0.11749720829,1.50989592357,6.74421283901e-05,1e-05
14,1054,2017-09-20,BANKNIFTY,2017-10-05,CE,24200,0.0,0.0,0.0,979.4,0.0,849.25,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,0.979506595138,-8.47657788153,9.68464674968,2.50157304424,0.000111737112336,19.5083618164
15,1055,2017-09-20,BANKNIFTY,2017-10-05,PE,24200,0.0,0.0,0.0,242.65,0.0,22.25,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,-0.0204934048617,-0.559552789951,-0.211634614784,2.50157304424,0.000111737112336,1e-05
16,1056,2017-09-20,BANKNIFTY,2017-10-05,CE,24300,0.0,0.0,0.0,911.45,0.0,759.3,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,0.964925049411,-8.80121975418,9.57477909138,3.91746670485,0.000174980466102,20.3065872192
17,1057,2017-09-20,BANKNIFTY,2017-10-05,PE,24300,0.0,0.0,0.0,273.6,0.0,32.0,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,-0.0350749505891,-0.851479682884,-0.362395997736,3.91746670485,0.000174980466102,1e-05
18,1058,2017-09-20,BANKNIFTY,2017-10-05,CE,24400,0.0,0.0,0.0,846.15,0.0,672.6,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,0.942852085428,-9.20047317983,9.38728621023,5.80257826156,0.000259182253559,20.9512710571
19,1059,2017-09-20,BANKNIFTY,2017-10-05,PE,24400,0.0,0.0,0.0,307.2,0.0,45.05,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,-0.0571479145724,-1.21801812883,-0.590782603536,5.80257826156,0.000259182253559,1e-05
20,1060,2017-09-20,BANKNIFTY,2017-10-05,CE,24500,0.0,0.0,0.0,783.6,0.0,589.8,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,0.911228237643,-9.6507447831,9.10068326352,8.13492294553,0.000363360486754,21.484375
21,1061,2017-09-20,BANKNIFTY,2017-10-05,PE,24500,74.1,74.95,65.0,71.1,74.95,71.1,90,88455000.0,255000,6080,1720,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,-0.0887717623565,-1.63557475238,-0.918279274888,8.13492294553,0.000363360486754,1e-05
22,1062,2017-09-20,BANKNIFTY,2017-10-05,CE,24600,0.0,0.0,0.0,723.9,0.0,511.6,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,0.868318803155,-10.1045792895,8.69673936204,10.8016833978,0.000482475982066,21.9421386719
23,1063,2017-09-20,BANKNIFTY,2017-10-05,PE,24600,0.0,0.0,0.0,382.8,0.0,83.55,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,-0.131681196845,-2.05669427905,-1.36311690102,10.8016833978,0.000482475982066,1e-05
24,1064,2017-09-20,BANKNIFTY,2017-10-05,CE,24700,0.0,0.0,0.0,667.0,0.0,438.5,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,0.813141849782,-10.4924204816,8.16489210589,13.5931324203,0.000607160909305,22.3350524902
25,1065,2017-09-20,BANKNIFTY,2017-10-05,PE,24700,0.0,0.0,0.0,424.8,0.0,110.15,0,0.0,0,0,0,24965.05,24984.65,25052.6,24938.3,24965.05,87376241,26101700000,8.740825899,7.291601004,-0.00305959852,15,442.3684116,25407.41841,24522.68159,-0.186858150218,-2.41182049147,-1.93585788181,13.5931324203,0.000607160909305,8.1787109375
