,Date,Symbol,Expiry,Option Type,Strike Price,Open_x,High_x,Low_x,Close_x,Last,Settle Price,Number of Contracts,Turnover_x,Premium Turnover,Open Interest,Change in OI,Underlying,Open_y,High_y,Low_y,Close_y,Volume,Turnover_y,AnnualVolatility365,AnnualVolatility254,logreturns,Days_to_Expiry,Range,UpperRange,LowerRange
0,2017-09-27,BANKNIFTY,2017-10-12,CE,23500.0,0.0,0.0,0.0,1163.65,0.0,518.55,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
1,2017-09-27,BANKNIFTY,2017-10-12,PE,23500.0,0.0,0.0,0.0,192.15,0.0,145.5,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
2,2017-09-27,BANKNIFTY,2017-10-12,CE,23600.0,0.0,0.0,0.0,1091.2,0.0,452.45,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
3,2017-09-27,BANKNIFTY,2017-10-12,PE,23600.0,0.0,0.0,0.0,218.6,0.0,179.15,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
4,2017-09-27,BANKNIFTY,2017-10-12,CE,23700.0,0.0,0.0,0.0,1019.35,0.0,391.4,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
5,2017-09-27,BANKNIFTY,2017-10-12,PE,23700.0,0.0,0.0,0.0,245.7,0.0,217.85,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
6,2017-09-27,BANKNIFTY,2017-10-12,CE,23800.0,0.0,0.0,0.0,951.0,0.0,335.55,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
7,2017-09-27,BANKNIFTY,2017-10-12,PE,23800.0,0.0,0.0,0.0,276.25,0.0,261.75,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
8,2017-09-27,BANKNIFTY,2017-10-12,CE,23900.0,0.0,0.0,0.0,885.3,0.0,284.9,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
9,2017-09-27,BANKNIFTY,2017-10-12,PE,23900.0,0.0,0.0,0.0,309.45,0.0,310.85,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
10,2017-09-27,BANKNIFTY,2017-10-12,CE,24000.0,0.0,0.0,0.0,822.2,0.0,239.7,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
11,2017-09-27,BANKNIFTY,2017-10-12,PE,24000.0,0.0,0.0,0.0,345.3,0.0,365.4,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
12,2017-09-27,BANKNIFTY,2017-10-12,CE,24100.0,0.0,0.0,0.0,761.8,0.0,199.65,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
13,2017-09-27,BANKNIFTY,2017-10-12,PE,24100.0,0.0,0.0,0.0,56.0,56.0,425.1,0.0,0.0,0.0,40.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
14,2017-09-27,BANKNIFTY,2017-10-12,CE,24200.0,0.0,0.0,0.0,704.2,0.0,164.65,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
15,2017-09-27,BANKNIFTY,2017-10-12,PE,24200.0,0.0,0.0,0.0,425.15,0.0,489.8,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
16,2017-09-27,BANKNIFTY,2017-10-12,CE,24300.0,0.0,0.0,0.0,649.4,0.0,134.35,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
17,2017-09-27,BANKNIFTY,2017-10-12,PE,24300.0,0.0,0.0,0.0,469.2,0.0,559.3,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
18,2017-09-27,BANKNIFTY,2017-10-12,CE,24400.0,0.0,0.0,0.0,597.35,0.0,108.65,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
19,2017-09-27,BANKNIFTY,2017-10-12,PE,24400.0,0.0,0.0,0.0,516.1,0.0,633.3,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
20,2017-09-27,BANKNIFTY,2017-10-12,CE,24500.0,188.0,188.0,56.0,60.85,56.0,60.85,41.0,40304000.0,124000.0,960.0,960.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
21,2017-09-27,BANKNIFTY,2017-10-12,PE,24500.0,0.0,0.0,0.0,349.0,349.0,711.25,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
22,2017-09-27,BANKNIFTY,2017-10-12,CE,24600.0,0.0,0.0,0.0,501.6,0.0,68.65,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
23,2017-09-27,BANKNIFTY,2017-10-12,PE,24600.0,0.0,0.0,0.0,618.2,0.0,792.8,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
24,2017-09-27,BANKNIFTY,2017-10-12,CE,24700.0,0.0,0.0,0.0,457.95,0.0,53.7,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
25,2017-09-27,BANKNIFTY,2017-10-12,PE,24700.0,0.0,0.0,0.0,673.45,0.0,877.6,0.0,0.0,0.0,0.0,0.0,23812.95,24308.7,24331.85,23766.6,23812.95,80405424,25481200000.0,13.7055744548,11.4331965434,-0.0160879582327,15,661.621547323,24474.5715473,23151.3284527
26,2017-09-28,BANKNIFTY,2017-10-12,CE,23500.0,0.0,0.0,0.0,1163.65,0.0,653.05,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
27,2017-09-28,BANKNIFTY,2017-10-12,PE,23500.0,0.0,0.0,0.0,192.15,0.0,88.75,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
28,2017-09-28,BANKNIFTY,2017-10-12,CE,23600.0,0.0,0.0,0.0,1091.2,0.0,577.3,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
29,2017-09-28,BANKNIFTY,2017-10-12,PE,23600.0,0.0,0.0,0.0,218.6,0.0,112.75,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
30,2017-09-28,BANKNIFTY,2017-10-12,CE,23700.0,0.0,0.0,0.0,1019.35,0.0,506.25,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
31,2017-09-28,BANKNIFTY,2017-10-12,PE,23700.0,0.0,0.0,0.0,245.7,0.0,141.45,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
32,2017-09-28,BANKNIFTY,2017-10-12,CE,23800.0,0.0,0.0,0.0,951.0,0.0,440.1,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
33,2017-09-28,BANKNIFTY,2017-10-12,PE,23800.0,0.0,0.0,0.0,276.25,0.0,175.05,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
34,2017-09-28,BANKNIFTY,2017-10-12,CE,23900.0,0.0,0.0,0.0,885.3,0.0,379.15,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
35,2017-09-28,BANKNIFTY,2017-10-12,PE,23900.0,0.0,0.0,0.0,309.45,0.0,213.85,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
36,2017-09-28,BANKNIFTY,2017-10-12,CE,24000.0,191.25,268.0,191.25,256.4,261.0,256.4,27.0,26158000.0,238000.0,480.0,480.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
37,2017-09-28,BANKNIFTY,2017-10-12,PE,24000.0,310.05,310.05,310.05,310.05,310.05,310.05,4.0,3890000.0,50000.0,160.0,160.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
38,2017-09-28,BANKNIFTY,2017-10-12,CE,24100.0,0.0,0.0,0.0,761.8,0.0,273.35,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
39,2017-09-28,BANKNIFTY,2017-10-12,PE,24100.0,0.0,0.0,0.0,56.0,56.0,307.6,0.0,0.0,0.0,40.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
40,2017-09-28,BANKNIFTY,2017-10-12,CE,24200.0,0.0,0.0,0.0,704.2,0.0,228.65,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
41,2017-09-28,BANKNIFTY,2017-10-12,PE,24200.0,0.0,0.0,0.0,425.15,0.0,362.65,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
42,2017-09-28,BANKNIFTY,2017-10-12,CE,24300.0,0.0,0.0,0.0,649.4,0.0,189.25,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
43,2017-09-28,BANKNIFTY,2017-10-12,PE,24300.0,0.0,0.0,0.0,469.2,0.0,423.0,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
44,2017-09-28,BANKNIFTY,2017-10-12,CE,24400.0,0.0,0.0,0.0,597.35,0.0,155.0,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
45,2017-09-28,BANKNIFTY,2017-10-12,PE,24400.0,0.0,0.0,0.0,516.1,0.0,488.5,0.0,0.0,0.0,0.0,0.0,24008.15,23804.05,24074.2,23611.1,24008.15,136679326,51302700000.0,15.5995652933,13.0131645762,0.00816380568975,14,733.480846746,24741.6308467,23274.6691533
